Iteration,RMSE,Denormalized_RMSE
0,0.1237003376090375,0.9554410643898719
1,0.09205726403100196,0.981243630663329
2,0.10656243311561579,1.0185365053885935
3,0.06890920132433592,0.8499490308779202
4,0.08356513995200161,1.014815540568353
5,0.11888863871183172,0.9456172749819458
6,0.08702077332782808,0.9544921654072788
7,0.09331326967099549,0.9144863605466017
8,0.0977209232377018,0.9810872575196904
9,0.10172187093061277,0.965350934145231
10,0.09125394693781266,0.9902780450422292
11,0.0798898713912079,0.8323782354849135
12,0.10620666863265064,0.9926839413895269
13,0.07770970703819641,0.9620009905573789
14,0.09777243488015985,0.88417931415486
15,0.09132757078311599,0.9129817486312045
16,0.08603652447289314,0.9652336495914489
17,0.08427036134166646,0.8554951090132831
18,0.10852040777712049,1.0842233212301615
19,0.07469820879307017,0.9062360632651588
