Iteration,RMSE,Denormalized_RMSE
0,0.5375103718146161,4.151641714918264
1,0.3686488287335814,3.929448902853582
2,0.42090667180415703,4.023076407508626
3,0.31450096965244684,3.879159665602748
4,0.3398803449136272,4.127508864942901
5,0.43008778096885764,3.4208351601079334
6,0.3392756376089467,3.72136359661309
7,0.3948300080460882,3.8694031231110406
8,0.3891575022378693,3.907018619595505
9,0.41874027060124136,3.9738878934390836
10,0.3603589533681844,3.91057671289657
11,0.33495193985667077,3.4898880147756492
12,0.42838650284115565,4.004008482266816
13,0.2567578331191334,3.1785126879009438
14,0.4397119273297808,3.9764192311329043
15,0.34529692893237107,3.4518578701968727
16,0.3342907695770877,3.7503688290580257
17,0.35660300498509273,3.6201592323462246
18,0.3795285787301936,3.791855786035566
19,0.2573776917600053,3.12249717793098
