Iteration,RMSE,Denormalized_RMSE
0,0.31862270110034335,2.460989343782089
1,0.22392483180342831,2.386827560728667
2,0.24142067877710963,2.307527777855755
3,0.18444316459091462,2.2749833982002747
4,0.1936932405149007,2.3522118276887625
5,0.2847246675047289,2.264645025153002
6,0.19680711046778676,2.1586896766622403
7,0.22301047013476746,2.1855416053513417
8,0.23757338213489942,2.385161848823804
9,0.2448078875513628,2.3232518314083386
10,0.24295982936758784,2.636574010479678
11,0.20124028535879598,2.096736804283675
12,0.2485396192864418,2.323030107629881
13,0.18924412316418743,2.3427322129991683
14,0.24048251812071025,2.1747404388447977
15,0.20894285494077885,2.088756017838755
16,0.2244339574588536,2.517898173798426
17,0.21629142603774007,2.195745386050765
18,0.24458983231403505,2.443687834967404
19,0.1901519284744403,2.306916562890078
