Iteration,RMSE,Denormalized_RMSE
0,0.3041965361658953,2.3495640183024125
1,0.21247304410755374,2.2647623021685024
2,0.2345452946116871,2.2418120321064463
3,0.1771465357315965,2.1849843486036415
4,0.188521996541076,2.2894122111055553
5,0.2708395540453276,2.1542055139048384
6,0.18699189090593604,2.051030898013547
7,0.21163679444550731,2.074077594672249
8,0.22781309890107002,2.2871716826113886
9,0.2373932733430984,2.252886386034678
10,0.20499446390580203,2.2245779363325293
11,0.18470395827069666,1.9244436396647082
12,0.2409333678177088,2.2519366086585695
13,0.17827217834492765,2.2069059155292687
14,0.22340133156468436,2.0202712182247957
15,0.1941654805838993,1.941029838714148
16,0.213898203728219,2.3996987917694463
17,0.20676906647290813,2.0990763804326327
18,0.23384591968334287,2.3363458071031142
19,0.1786517994182913,2.1673973983575463
