Iteration,RMSE,Denormalized_RMSE
0,0.30419653064795205,2.349563975682726
1,0.21247304310751658,2.264762291509049
2,0.23454529446229183,2.241812030678508
3,0.17714654433857224,2.1849844547649457
4,0.1885219929160869,2.289412167083667
5,0.27083956564104744,2.154205606134955
6,0.1869918737917362,2.051030710295499
7,0.21163680228141182,2.0740776714654836
8,0.22781309404422664,2.2871716338502126
9,0.23739324966473815,2.2528861613246236
10,0.20499446456228604,2.2245779434566235
11,0.1847039730677759,1.924443793836526
12,0.2409333673880896,2.2519366046430394
13,0.17827217933880649,2.206905927832911
14,0.2234013422474648,2.020271314831713
15,0.19416549113196893,1.941029944160893
16,0.21389818504844588,2.3996985822032686
17,0.2067690782106139,2.0990764995913707
18,0.23384594921522087,2.336346102154999
19,0.17865180280724716,2.1673974394722406
