Iteration,RMSE,Denormalized_RMSE
0,0.4817129002632877,3.7206712209026525
1,0.43867231026623493,4.675833188483102
2,0.6467179653503495,6.181407810811697
3,0.4223324305068544,5.209188803801257
4,0.42652019337094577,5.1796636832974885
5,0.46387139410190553,3.6895434953707356
6,0.42704234008734243,4.684037527166072
7,0.4359520019955075,4.272405854853413
8,0.44394507522723897,4.457068577674111
9,0.5031223901975965,4.77468281819092
10,0.43672574114563745,4.739300903401416
11,0.42594939242540775,4.437996926253047
12,0.44912556758383937,4.197850703236082
13,0.42262551894827166,5.231858198400175
14,0.44317660746613563,4.007751155212355
15,0.4295152286611556,4.293769791140547
16,0.43747131248489185,4.907939205219663
17,0.4366199299998002,4.4324743440712595
18,0.4469526736752125,4.465487388142746
19,0.4227658008464376,5.128979947880099
