,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description
360,30698,185.41.96.25,208909,185.41.96.0/24,-,-,-,es,Abandoned,Yes,41.9315,2.2515,Goufone Botiga Vic
361,30705,188.26.209.6,57269,188.26.208.0/21,2a0c:5a80:8006:2200:ee08:6bff:fe73:4104,57269,2a0c:5a80::/29,es,Abandoned,Yes,40.3595,-3.5225,TL-MR3020
362,30722,77.246.182.70,43578,77.246.182.0/24,-,-,-,es,Abandoned,Yes,41.3485,2.1285,bitNAP
363,30745,212.121.225.225,16030,212.121.225.0/24,-,-,-,es,Abandoned,Yes,41.7295,1.8295,ALTECOM-FIBRACAT
364,30799,-,60273,185.50.0.0/22,-,-,-,es,Abandoned,No,41.8515,3.1015,DEAD
365,31002,-,12357,84.121.0.0/20,-,-,-,es,Abandoned,No,39.2885,-0.4125,-
366,31015,185.107.106.76,200434,185.107.106.0/24,-,-,-,es,Abandoned,Yes,41.6095,2.2875,-
367,31032,46.37.96.28,52037,46.37.96.0/24,-,-,-,es,Abandoned,Yes,36.4885,-4.7315,-
368,31033,128.140.201.174,57365,128.140.201.0/24,-,-,-,es,Abandoned,Yes,41.3485,2.1185,TP-LINK TL-MR3020 AS57365
369,31097,212.15.224.91,60314,212.15.224.0/19,-,-,-,es,Abandoned,Yes,41.4005,2.1915,-
370,31155,-,3352,79.152.0.0/16,-,-,-,es,Connected,No,41.3895,2.1695,-
371,31185,212.111.96.9,198479,212.111.96.0/20,-,-,-,es,Abandoned,Yes,39.5195,-0.4685,Internet Xpress Probe
372,31427,185.110.17.85,204234,185.110.16.0/22,-,-,-,es,Connected,Yes,38.8805,-1.1115,TVAlmansa probe
373,31464,-,202125,185.247.167.0/24,-,-,-,es,Abandoned,No,37.1695,-3.6095,-
374,31469,185.57.206.95,47683,185.57.204.0/22,-,-,-,es,Abandoned,Yes,38.9715,-3.8895,NAVIGO
375,31482,5.57.24.17,199434,5.57.24.0/24,-,-,-,es,Abandoned,Yes,37.9585,-1.1885,AS199434
376,31619,-,-,-,-,-,-,es,Never Connected,No,36.8815,-2.3325,-
377,31627,37.222.58.92,12430,37.222.0.0/15,-,-,-,es,Abandoned,Yes,36.6005,-4.5515,"Lowi, Malaga"
378,31633,-,39551,83.247.136.0/24,-,-,-,es,Abandoned,No,41.3485,2.1185,CTTI Probe Old
379,31643,193.22.119.83,29680,193.22.119.0/24,-,-,-,es,Connected,Yes,41.4885,2.1395,-
380,31657,-,-,-,-,-,-,es,Never Connected,Yes,37.9905,-1.1305,CableMurcia
381,31675,90.173.99.158,12479,90.173.96.0/21,-,-,-,es,Connected,Yes,36.7195,-4.4595,UTE Probe
382,31676,93.94.101.1,13168,93.94.96.0/21,-,-,-,es,Abandoned,Yes,40.5205,-3.3395,BMN
383,31803,94.46.16.247,24768,94.46.16.0/22,-,-,-,es,Abandoned,Yes,40.4185,-3.7025,PTISP-MAD1 DATACENTER
384,32191,-,41876,185.209.192.0/24,-,-,-,es,Abandoned,No,39.2575,-0.4685,-
385,32202,188.76.101.148,12479,188.76.101.0/24,2a02:2e02:2899:b900:1ad6:c7ff:fef3:1f56,12479,2a02:2e02:2890::/4,es,Connected,Yes,36.8185,-2.5725,ALV-ALM
386,32484,-,51773,46.28.212.0/24,-,-,-,es,Abandoned,No,41.3895,2.1715,-
387,32546,90.171.116.216,12479,90.171.112.0/21,-,-,-,es,Abandoned,Yes,39.3405,-0.4705,DATOMEDIA - VALENCIA
388,32584,185.36.0.56,200845,185.36.0.0/24,-,-,-,es,Connected,Yes,36.8395,-4.6385,-
389,32615,37.134.232.231,12479,37.134.232.0/22,2001:470:c8b6:8803:1ad6:c7ff:fef3:16d2,6939,2001:470::/32,es,Connected,Yes,40.3695,-3.7625,Redparra Network rp1
390,32626,84.88.1.18,13041,84.88.0.0/16,-,-,-,es,Connected,Yes,41.3905,2.1085,CSUC - Consorci de Serveis Uni
391,32648,-,57269,79.116.0.0/15,-,57269,2a0c:5a80::/29,es,Connected,No,40.5615,-3.6305,-
392,32868,93.191.139.1,48846,93.191.136.0/21,-,-,-,es,Connected,Yes,40.5015,-3.6595,INETUM - PROBE
393,32950,80.94.5.101,39263,80.94.0.0/20,-,-,-,es,Abandoned,Yes,41.3875,2.1695,-
394,33325,90.170.150.68,12479,90.170.148.0/22,-,-,-,es,Abandoned,Yes,40.4195,-3.7015,Madrid - Orange Fiber
395,33419,31.211.186.235,198454,31.211.184.0/21,-,-,-,es,Abandoned,Yes,36.7415,-4.6125,-
396,33420,-,-,-,-,-,-,es,Never Connected,Yes,28.5175,-16.3415,Redes.net
397,33583,-,3352,80.35.0.0/16,-,-,-,es,Abandoned,No,40.4485,-3.5685,HUBARA Atlas Probe
398,33627,79.154.49.145,3352,79.154.0.0/16,-,-,-,es,Connected,Yes,41.3905,2.1685,-
399,33818,79.146.74.7,3352,79.146.0.0/16,-,-,-,es,Connected,Yes,40.2915,-3.8325,ALOJALIA MAD1
400,33930,-,12479,87.220.56.0/22,-,-,-,es,Abandoned,No,37.3975,-6.0015,-
401,33948,79.151.194.62,3352,79.151.0.0/16,-,-,-,es,Connected,Yes,39.9915,-0.0505,Movistar 300M
402,33970,92.176.148.47,12479,92.176.148.0/22,-,-,-,es,Connected,Yes,36.7275,-2.6295,PC InformÃ¡tica Las Marinas
403,33971,88.17.51.228,3352,88.17.0.0/16,fda5:250:4357:4537:1ad6:c7ff:fe29:fd38,-,-,es,Connected,Yes,39.4575,-0.3795,-
404,33981,-,6739,213.254.120.0/21,-,-,-,es,Abandoned,No,40.9475,-5.6585,ALOJALIA SAL-OLD
405,34082,83.38.83.71,3352,83.38.0.0/16,-,-,-,es,Disconnected,Yes,40.3585,-3.7585,Redparra Network rp3
406,34344,80.29.184.49,3352,80.29.0.0/16,fd1b:ff8b:476e:8279:c225:e9ff:fea8:78a4,-,-,es,Connected,Yes,40.3395,-3.8205,skgsergio@home
407,34398,185.190.176.203,206268,185.190.176.0/24,-,-,-,es,Connected,Yes,41.8215,1.8915,Guifibages GPON Connection
408,34405,188.26.196.118,57269,188.26.192.0/21,2a0c:5a81:b60a:7e00:c225:e9ff:fea8:58ea,57269,2a0c:5a80::/30,es,Abandoned,Yes,40.3095,-3.7325,-
409,34417,-,12430,77.224.0.0/13,-,-,-,es,Abandoned,No,40.6905,-3.9725,FRL-ATLAS
410,34429,66.81.188.171,15704,66.81.184.0/21,-,-,-,es,Connected,Yes,36.6015,-4.5215,Benal Probe
411,34542,-,12430,77.224.0.0/13,-,-,-,es,Disconnected,No,41.6285,-4.7405,Sonda-Vodafone
412,34629,-,201843,193.58.98.0/24,-,-,-,es,Abandoned,No,38.9415,-3.9815,Poblete
413,34664,185.154.11.154,202817,185.154.8.0/22,-,-,-,es,Connected,Yes,42.2495,3.1205,Empuriabrava - Jazztel
414,34960,83.38.85.118,3352,83.38.0.0/16,-,-,-,es,Abandoned,Yes,40.3675,-3.7595,Redparra Network rp2
415,35148,139.47.72.154,15704,139.47.0.0/17,-,-,-,es,Abandoned,Yes,40.4015,-3.6605,-
416,35310,212.3.63.1,39155,212.3.62.0/23,-,-,-,es,Abandoned,Yes,37.4375,-4.0925,Cruz de las Mujeres
417,35464,188.127.189.106,15704,188.127.160.0/19,-,-,-,es,Abandoned,Yes,40.4295,-3.6795,MAD NOC
418,35590,83.56.6.29,3352,83.56.0.0/16,-,-,-,es,Abandoned,Yes,39.4475,-0.3585,Colmar Valencia
419,35595,2.139.166.104,3352,2.139.0.0/16,-,-,-,es,Abandoned,Yes,40.4295,-3.6685,MAD-MBecerra-AMM
420,35664,212.64.161.47,12540,212.64.160.0/19,-,-,-,es,Abandoned,Yes,28.1295,-15.4395,Voxia TPLINK Probe
421,35684,-,57269,86.127.224.0/19,-,57269,2a0c:5a80::/30,es,Abandoned,No,40.3895,-3.6685,-
422,35685,-,12479,90.71.180.0/22,-,-,-,es,Connected,No,41.3995,2.1815,Barcelona - Orange fiber
423,35690,-,3352,83.35.0.0/16,-,-,-,es,Abandoned,No,40.2475,-3.8285,Casa
424,35765,95.23.219.99,12479,95.23.218.0/23,-,-,-,es,Disconnected,Yes,41.4195,2.1905,-
425,35783,84.127.209.63,6739,84.127.0.0/16,-,-,-,es,Connected,Yes,38.9885,-0.5185,-
426,50261,79.144.153.60,3352,79.144.0.0/16,-,-,-,es,Disconnected,Yes,36.7075,-4.2495,Torre de BenagalbÃ³n
427,50272,79.116.17.114,57269,79.116.0.0/15,-,-,-,es,Connected,Yes,37.2885,-5.9195,Alferez.es Ripe Atlas
428,50328,217.150.213.3,33932,217.150.213.0/24,-,-,-,es,Connected,Yes,41.6715,2.7485,home user @ Everywan
429,50584,89.128.173.57,12479,89.128.172.0/22,-,-,-,es,Abandoned,Yes,41.5495,2.1115,-
430,50594,185.23.223.105,60493,185.23.223.0/24,-,-,-,es,Abandoned,Yes,41.5595,1.9615,FICOSA INTERNATIONAL RIPE ATLA
431,50627,-,15704,82.213.224.0/19,-,-,-,es,Disconnected,No,38.6805,-4.0915,Puertollano
432,50746,83.247.144.196,39551,83.247.144.0/24,-,-,-,es,Abandoned,Yes,41.3505,2.1195,CTTI Probe
433,50874,-,8220,62.97.64.0/18,-,-,-,es,Disconnected,No,40.4195,-3.6895,-
434,50925,86.127.247.154,57269,86.127.224.0/19,-,-,-,es,Connected,Yes,40.4895,-3.8815,SigmaProbe
435,50990,-,3352,83.39.0.0/16,-,3352,2a02:9000::/23,es,Connected,No,40.4275,-3.6685,-
436,51046,-,57269,79.116.0.0/15,-,57269,2a0c:5a80::/29,es,Connected,No,39.9805,-0.0305,-
437,51056,158.109.165.53,13041,158.109.0.0/16,-,-,-,es,Connected,Yes,41.5005,2.1095,Sensor SI Comms
