,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,Seconds_disconnected,Days_disconnected
549,10041,212.64.161.167,12540,212.64.160.0/19,-,-,-,es,Connected,Yes,28.1115,-15.4385,pnisec Test probe,0,0
550,10042,88.24.70.121,3352,88.24.0.0/16,-,-,-,es,Connected,Yes,28.0275,-15.5025,-,0,0
551,10042,81.0.3.102,15704,81.0.0.0/20,-,-,-,es,Connected,Yes,41.3885,2.1375,-,0,0
552,10044,85.59.185.243,12479,85.59.184.0/22,fde1:e651:88c1::1,-,-,es,Connected,Yes,41.3815,2.1315,"Turris Omnia, Barcelona",0,0
553,10045,208.76.221.49,20473,208.76.220.0/22,2a05:f480:2800:145f:5400:3ff:fed2:ba70,20473,2a05:f480:2800::/3,es,Connected,Yes,40.4185,-3.7015,-,0,0
555,10046,5.225.73.157,12430,5.224.0.0/15,fdc1:d42a:1944::1,-,-,es,Disconnected,Yes,40.4605,-3.7105,Espa̱a Madrid Franco Rodriguez,-2,-1
557,10047,5.225.73.157,12430,5.224.0.0/15,fdda:5862:9bf7::1,-,-,es,Disconnected,Yes,40.4215,-3.6895,Espa̱a Madrid Franco Rodriguez,74051996,857
558,10048,212.8.116.1,12338,212.8.64.0/18,fd47:37c4:8a7::1,-,-,es,Connected,Yes,43.2575,-2.9295,Turris Unamuno,0,0
562,10049,18.100.6.236,16509,18.100.0.0/15,2a05:d011:218:6500:5950:4100:5da0:58a6,16509,2a05:d011::/38,es,Connected,Yes,41.6475,-0.8885,AWS - Spain,0,0
563,10050,80.91.70.194,174,80.91.70.0/24,-,-,-,es,Connected,Yes,42.6315,-8.6195,-,0,0
565,10050,88.17.253.148,3352,88.17.0.0/16,-,-,-,es,Disconnected,Yes,39.4895,-0.3995,-,239759710,2774
566,10050,82.213.239.94,15704,82.213.224.0/19,-,-,-,es,Connected,Yes,40.2905,-3.7995,-,0,0
568,10050,213.177.220.188,15704,213.177.216.0/21,-,-,-,es,Connected,Yes,43.3115,-1.9085,Galtzaraborda Probe,0,0
569,10051,86.127.241.86,57269,86.127.224.0/19,2a0c:5a85:d106:7a00:e92:f61:2e75:d6e9,57269,2a0c:5a80::/29,es,Disconnected,Yes,39.4715,-0.3825,-,116726421,1351
570,10051,79.156.57.88,3352,79.156.0.0/16,-,-,-,es,Connected,Yes,41.6115,0.6295,-,0,0
572,10052,185.47.128.101,59432,185.47.128.0/24,2a0e:46c4:28c1::dd:d2e5:cfe6,212294,2a0e:46c4:28c1::/4,es,Connected,Yes,40.4205,-3.6905,-,0,0
573,10053,79.116.0.148,57269,79.116.0.0/15,-,-,-,es,Connected,Yes,40.1915,-3.6725,Aletz.es,0,0
574,10053,185.49.184.104,15954,185.49.184.0/22,-,-,-,es,Connected,Yes,40.4905,-3.6905,-,0,0
576,10054,79.116.62.230,57269,79.116.0.0/15,-,-,-,es,Disconnected,Yes,37.3795,-5.9715,-,277080507,3206
