,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,Seconds_disconnected,Days_disconnected
12,6298,152.195.206.35,15133,152.195.206.0/24,2606:2800:7030:c::a,15133,2606:2800:7030::/4,br,Connected,Yes,-23.5485,-46.6285,Verizon Digital Media Services,0,0
14,6349,200.132.1.32,2716,200.132.0.0/16,2804:0:0:c010::32,2716,2804::/32,br,Connected,Yes,-30.0685,-51.1205,Federal University of Rio Gran,0,0
15,6410,200.160.6.19,22548,200.160.0.0/20,2001:12ff:0:6000::19,22548,2001:12ff::/32,br,Connected,Yes,-23.6525,-46.7325,NIC.br - N̼cleo de Informa̤̣o,0,0
16,6461,18.228.126.142,16509,18.228.0.0/16,2600:1f1e:a13:5f00::1650:9,16509,2600:1f1e:800::/38,br,Disconnected,Yes,-23.5525,-46.6295,Amazon Web Services,3746222,43
17,6602,148.163.220.5,36236,148.163.220.0/24,2607:f740:1::5,36236,2607:f740:1::/48,br,Connected,Yes,-23.4715,-46.8625,NetActuate,0,0
18,6659,5.188.238.222,202422,5.188.238.0/24,2a03:90c0:186::a5,199524,2a03:90c0:180::/44,br,Connected,Yes,-23.4885,-46.8405,G-Core Labs S.A.,0,0
19,6711,35.198.9.221,396982,35.198.0.0/20,-,-,-,br,Connected,Yes,-23.5525,-46.6325,Google,0,0
21,6891,150.164.1.222,271354,150.164.0.0/16,2001:12f0:601:a906::222,1916,2001:12f0:600::/42,br,Connected,Yes,-19.8725,-43.9685,Universidade Federal de Minas,0,0
22,6977,156.154.122.254,12008,156.154.122.0/24,2610:a1:3048:252::254,12008,2610:a1:3048::/48,br,Connected,Yes,-23.4895,-46.8095,Neustar,0,0
23,7019,143.208.160.10,53046,143.208.160.0/22,2804:1f04:3000:138::10,53046,2804:1f04::/32,br,Connected,Yes,-25.0885,-50.1025,Universidade Estadual de Ponta,0,0
24,7057,187.44.229.14,28186,187.44.224.0/20,2804:204:800:60::2,28186,2804:204::/33,br,Disconnected,Yes,-12.9795,-38.4505,ITS Telecomunicacoes,6517681,75
25,7113,177.124.129.226,52863,177.124.129.0/24,2804:2870:1:1::237,52863,2804:2870:1::/48,br,Connected,Yes,-23.5015,-46.8325,UPX,0,0
30,10866,201.92.47.50,27699,201.92.0.0/16,2804:7f0:b103:f2b3:a2f3:c1ff:fec4:5b79,18881,2804:7f0:8000::/33,br,Connected,Yes,-23.5395,-46.5795,Vivo Fibra,0,0
34,11315,201.76.99.28,262792,201.76.96.0/22,2804:224::28,262792,2804:224::/32,br,Connected,Yes,-8.1105,-34.9225,Vescnet Provedores do Brasil,0,0
43,12808,200.238.128.160,10881,200.238.128.0/19,2801:82:0:2:a2f3:c1ff:fec4:47c6,10881,2801:82::/33,br,Connected,Yes,-25.4485,-49.2325,UFPR - RNP/PoP-PR,0,0
64,14065,191.187.40.8,28573,191.187.32.0/20,2804:14c:c683:803f:6666:b3ff:feb0:f312,28573,2804:14c:c683::/48,br,Connected,Yes,-18.8705,-41.9495,Claro NET Virtua,0,0
65,14635,189.6.236.117,28573,189.6.128.0/17,2804:14d:4cd1:abf2:6666:b3ff:fe94:992,28573,2804:14d:4cd1::/48,br,Connected,Yes,-30.0405,-51.2015,Claro cable-modem 50 Mbps down,0,0
75,16234,95.91.245.9,3209,95.88.0.0/14,-,-,-,br,Connected,Yes,-30.0205,-51.1915,-,0,0
84,16721,200.132.0.178,2716,200.132.0.0/16,2804::cafe:6666:b3ff:fed1:275a,2716,2804::/32,br,Connected,Yes,-30.0425,-51.2115,Probe do AS2716,0,0
87,16735,200.160.12.127,22548,200.160.0.0/20,2001:12ff:0:10:6666:b3ff:fed1:1656,22548,2001:12ff::/32,br,Connected,Yes,-23.5705,-46.7015,-,0,0
118,20875,200.129.202.58,1916,200.129.192.0/20,-,-,-,br,Connected,Yes,-13.4905,-55.6595,UFMS,0,0
119,20877,179.179.196.251,18881,179.179.192.0/18,2804:1b3:6800:6612:eade:27ff:fe69:c882,18881,2804:1b3:6000::/36,br,Disconnected,Yes,-19.8595,-44.6095,UFMG,1189027,13
120,20883,179.108.234.98,262691,179.108.234.0/23,2804:1cd8:c416:680:eade:27ff:fe69:c8fe,262691,2804:1cd8:c000::/3,br,Connected,Yes,-21.1315,-44.2485,UFMG Residential,0,0
128,22702,177.103.187.48,27699,177.102.0.0/15,-,-,-,br,Connected,Yes,-23.5615,-46.6525,BrickProbe,0,0
147,24628,201.26.92.116,27699,201.26.0.0/17,2804:1b3:a241:b552:c66e:1fff:fe5b:e302,18881,2804:1b3:a000::/37,br,Connected,Yes,-23.6685,-46.7415,Claro net virtua 500 Mb/s + Vi,0,0
150,25421,191.19.38.145,27699,191.19.0.0/17,2804:431:cfd3:3fd0:eade:27ff:fec9:7b5e,27699,2804:431:c800::/37,br,Disconnected,Yes,-23.5825,-46.7415,Home,667460,7
159,25762,179.108.182.207,262983,179.108.182.0/24,fdec:76ea:9e24:8564:c66e:1fff:fe5b:f0e6,-,-,br,Disconnected,Yes,-20.5615,-48.5695,home-btos vdl,1243780,14
177,28197,201.75.186.186,28573,201.75.160.0/19,2804:14d:688d:aa2:f6f2:6dff:fe5d:c006,28573,2804:14d:688d::/48,br,Connected,Yes,-23.1995,-45.9085,SJC-NET,0,0
179,28708,200.145.216.52,53166,200.145.128.0/17,-,-,-,br,Connected,Yes,-20.7885,-49.3625,UNESP ACMESECURITY LAB,0,0
180,28733,200.160.13.42,22548,200.160.0.0/20,2001:12ff:0:10:f6f2:6dff:fe5d:a132,22548,2001:12ff::/32,br,Connected,Yes,-23.6015,-46.6915,CGI.br,0,0
182,30032,177.73.36.98,52694,177.73.36.0/22,2804:c58:0:dc:ee08:6bff:fe73:2f24,52694,2804:c58::/32,br,Disconnected,Yes,-29.4915,-51.9415,TL-MR3020,6210382,71
183,30035,187.19.103.104,28130,187.19.103.0/24,2804:2b8:218b:6900:ee08:6bff:fe54:6376,28130,2804:2b8::/32,br,Connected,Yes,-24.9905,-53.4615,MANTUNES-CASA,0,0
185,30101,200.132.0.175,2716,200.132.0.0/16,2804::cafe:a62b:b0ff:fee0:610,2716,2804::/32,br,Connected,Yes,-30.0425,-51.2125,Probe do AS2716,0,0
194,31562,168.194.162.129,14868,168.194.162.0/23,2001:1284:f016:dc38:ee08:6bff:fe73:2ec4,14868,2001:1284:8000::/3,br,Connected,Yes,-25.4415,-49.2395,-,0,0
197,32293,177.18.63.198,18881,177.18.56.0/21,2804:7f4:c2af:e30f:d66e:eff:fe23:3da8,18881,2804:7f4:c000::/34,br,Disconnected,Yes,-30.0215,-51.1685,Filipe Trindade's Home,-2,-1
198,32670,181.220.138.80,28573,181.220.128.0/19,2804:14d:5e81:8c27:d66e:eff:fe23:3e6a,28573,2804:14d:5e00::/40,br,Connected,Yes,-32.1825,-52.1595,Cassino,0,0
201,32937,-,-,-,2804:2b8:2284:e800:1ad6:c7ff:fe2a:4c6,28130,2804:2b8::/32,br,Connected,Yes,-24.9595,-53.4615,MANTUNES-B4B,0,0
207,33664,45.227.114.148,267024,45.227.114.0/24,-,-,-,br,Disconnected,Yes,-32.0105,-52.0395,UltranetRS,4302692,49
214,35709,200.0.70.3,11097,200.0.70.0/24,2801:80:1400:e::3,11097,2801:80:1400::/48,br,Connected,Yes,-22.8185,-47.0625,Embrapa Agricultura Digital,0,0
215,35715,170.239.68.25,53169,170.239.68.0/23,2804:1684:154:2d84:c225:e9ff:febb:296a,53169,2804:1684::/32,br,Connected,Yes,-27.3505,-53.4025,Home Fiber - Tch̻ Turbo,0,0
217,50486,187.106.26.121,28573,187.106.16.0/20,2804:14c:f427:817c:1:f4ff:fe5c:9140,28573,2804:14c:f420::/45,br,Connected,Yes,-23.1895,-46.8985,Home Cable - Net Virtua,0,0
219,50734,170.238.235.2,37468,170.238.234.0/23,-,-,-,br,Disconnected,Yes,-3.7405,-38.4615,DC ANGONAP - RIPE PROBE AC FTZ,-2,-1
224,51380,186.212.242.144,18881,186.212.240.0/20,2804:7f7:d69a:3caf:1:13ff:fe1d:88ba,18881,2804:7f7:c000::/35,br,Connected,Yes,-8.0325,-34.9085,Vivo - Recife/PE,0,0
232,53335,191.136.217.217,26615,191.136.208.0/20,-,-,-,br,Connected,Yes,-12.9905,-38.4515,Salvador/BA,0,0
234,54601,179.108.182.207,262983,179.108.182.0/24,fdec:76ea:9e24:8564:1:78ff:fef6:8977,-,-,br,Connected,Yes,-20.5525,-48.5725,Big Vince,0,0
236,55516,177.107.94.24,28669,177.107.94.0/24,2804:16d0:fa00:5c4:1:a3ff:feb3:e3bd,-,-,br,Connected,Yes,-22.9295,-45.4625,Dominioz-Pinda,0,0
237,55564,191.220.11.173,8167,191.220.0.0/18,2804:d59:9228:7200:1:77ff:fe50:acd2,8167,2804:d50::/28,br,Connected,Yes,-9.9605,-67.7895,-,0,0
238,60623,179.251.185.16,26615,179.251.176.0/20,-,-,-,br,Connected,Yes,-8.0315,-34.9115,Tim - Recife/PR,0,0
239,60940,189.15.180.223,53006,189.15.0.0/16,-,-,-,br,Connected,Yes,-19.0225,-48.3305,-,0,0
240,61610,187.45.77.239,28343,187.45.76.0/23,2804:30c:1a31:8600:da58:d7ff:fe03:4a4,28343,2804:30c:1a00::/40,br,Disconnected,Yes,-29.9225,-51.1725,-,4738599,54
241,62649,201.62.52.155,262785,201.62.52.0/24,-,-,-,br,Connected,Yes,-18.8985,-48.3205,-,0,0
243,10001,177.74.144.151,263649,177.74.144.0/23,2804:10c8:1337:100::2,263649,2804:10c8:1337::/4,br,Connected,Yes,-27.8715,-54.4795,-,0,0
246,10003,187.0.196.133,26592,187.0.196.0/22,2804:50:1:f::133,26592,2804:50::/36,br,Disconnected,Yes,-22.9505,-43.1925,Equinix Connect RJ,-2,-1
247,10004,138.99.133.161,264215,138.99.133.0/24,fd86:ea04:1115::1,-,-,br,Connected,Yes,-22.8885,-43.1185,MGEMAL,0,0
249,10007,177.71.185.54,16509,177.71.128.0/17,2600:1f1e:aa3:1800:7157:9980:2794:d398,16509,2600:1f1e:800::/38,br,Connected,Yes,-23.5385,-46.6325,AWS - Ṣo Paulo,0,0
250,10008,140.238.237.119,31898,140.238.236.0/22,2603:c021:c002:1399:140:238:237:119,31898,2603:c021:c000::/3,br,Connected,Yes,-23.5385,-46.6315,Oracle Cloud SaoPaulo,0,0
253,10016,177.194.43.137,28573,177.194.0.0/17,2804:14c:485:5183:210:75ff:fe58:d245,28573,2804:14c:485::/48,br,Connected,Yes,-22.8785,-47.0505,Home BR,0,0
257,10022,140.238.183.56,31898,140.238.176.0/21,2603:c021:c003:3511:2::,31898,2603:c021:c000::/3,br,Connected,Yes,-23.5525,-46.6295,FiLabs OCI Sao Paulo,0,0
259,10026,54.94.126.100,16509,54.94.0.0/17,2600:1f1e:9d1:bf00:8f8c:21f6:2217:83dc,16509,2600:1f1e:800::/38,br,Connected,Yes,-23.5595,-46.6425,-,0,0
261,10028,201.92.47.50,27699,201.92.0.0/16,-,-,-,br,Disconnected,Yes,-23.5415,-46.5795,MikroTik RB5009UG+S+,202351361,2342
262,10031,148.153.200.58,63199,148.153.200.0/22,-,-,-,br,Connected,Yes,-23.4895,-46.8125,cds-brgru-probe,0,0
263,10035,45.143.83.65,47583,45.143.83.0/24,2a02:4780:13:c0de::b,47583,2a02:4780:13::/48,br,Disconnected,Yes,-23.4905,-46.7805,-,191035019,2211
264,10035,45.143.83.66,47583,45.143.83.0/24,2a02:4780:13:c0de::c,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4905,-46.7805,-,0,0
265,10035,45.143.83.67,47583,45.143.83.0/24,2a02:4780:13:c0de::d,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4895,-46.7805,-,0,0
266,10035,45.143.83.68,47583,45.143.83.0/24,2a02:4780:13:c0de::e,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4895,-46.7805,-,0,0
267,10035,45.143.83.69,47583,45.143.83.0/24,2a02:4780:13:c0de::f,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4885,-46.7805,-,0,0
268,10035,45.143.83.70,47583,45.143.83.0/24,2a02:4780:13:c0de::10,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4885,-46.7805,-,0,0
269,10035,45.143.83.71,47583,45.143.83.0/24,2a02:4780:13:c0de::11,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4925,-46.7795,-,0,0
