,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,Seconds_disconnected,Days_disconnected
160,1509,88.217.120.127,8767,88.217.0.0/16,2001:a61:aa3:c501:220:4aff:fec7:b0ab,8767,2001:a60::/29,de,Connected,Yes,48.0915,11.5275,AS8767 - M-net Telekommunikati,0,0
161,2007,88.152.187.153,3209,88.152.0.0/16,2a02:908:698:e840:220:4aff:fee0:25e5,3209,2a02:908::/33,de,Connected,Yes,50.7405,7.0875,H117 1000 Mbit cable Vodafone,0,0
164,2024,77.190.149.209,6805,77.176.0.0/12,2a01:c22:d4f2:1a00:220:4aff:fee0:250a,6805,2a01:c00::/26,de,Connected,Yes,48.7695,9.1385,"Rupp Home Network, Provider Al",0,0
166,2026,94.103.175.30,12586,94.103.175.0/24,2a02:7a0:863::2,12586,2a02:7a0::/29,de,Connected,Yes,50.1405,8.7385,nonattached-remote,0,0
171,2049,93.228.68.242,3320,93.192.0.0/10,2003:d4:c707:4300:220:4aff:fee0:259c,3320,2003::/19,de,Connected,Yes,48.3615,12.1295,Axel Home,0,0
172,2052,141.100.58.7,8365,141.100.0.0/16,-,-,-,de,Connected,Yes,49.8685,8.6395,-,0,0
174,2057,89.244.221.132,8881,89.244.192.0/19,2001:9e8:6d62:7600:220:4aff:fee0:22d5,8881,2001:9e8:6000::/35,de,Connected,Yes,52.3205,9.6595,"FRITZ!Box 7590, 50/10 Mbit, IS",0,0
177,2074,194.150.191.253,33988,194.150.191.0/24,2001:67c:14c:66::ffff,33988,2001:67c:14c::/48,de,Connected,Yes,49.4295,11.0205,Office,0,0
178,2075,-,-,-,2a01:c22:6f78:c001:220:4aff:fee0:2361,6805,2a01:c00::/26,de,Connected,Yes,48.1195,11.5305,SaMeProbe,0,0
201,2153,80.147.231.118,3320,80.144.0.0/13,2003:a:b67:f20::244,3320,2003::/19,de,Connected,Yes,49.0685,9.2195,VDSL 100,0,0
211,2196,217.24.8.174,15844,217.24.0.0/20,-,-,-,de,Connected,Yes,50.2905,8.5415,@EDFA,0,0
222,2229,-,-,-,2001:868:100:1c:220:4aff:fee0:20e9,12731,2001:868::/29,de,Connected,Yes,53.6415,10.0185,Sascha Home,0,0
227,2275,31.209.89.4,50629,31.209.80.0/20,-,-,-,de,Connected,Yes,53.0795,8.8205,-,0,0
229,2290,212.86.201.219,12480,212.86.192.0/19,fd00::220:4aff:fee0:2041,-,-,de,Connected,Yes,49.3375,8.6415,Arnold's Atlas probe,0,0
231,2302,80.81.248.249,15657,80.81.240.0/20,-,-,-,de,Connected,Yes,52.4685,13.3675,Speedbone Internet & Connectiv,0,0
232,2303,87.183.166.69,3320,87.128.0.0/10,-,-,-,de,Connected,Yes,52.4685,13.3275,Berlin::Friedenau,0,0
236,2322,37.72.148.174,50629,37.72.144.0/21,-,-,-,de,Connected,Yes,53.0785,8.7985,Fibre Probe 1,0,0
237,2325,212.224.70.195,44066,212.224.64.0/18,-,-,-,de,Connected,Yes,50.1095,8.6785,First Colo GmbH,0,0
238,2326,91.39.115.200,3320,91.0.0.0/10,2003:e2:5f0e:4100:220:4aff:fee0:2584,3320,2003::/19,de,Connected,Yes,49.9205,11.5885,cyconet,0,0
240,2332,37.72.148.174,50629,37.72.144.0/21,-,-,-,de,Connected,Yes,53.0785,8.7985,Fibre Probe 2,0,0
241,2334,217.145.98.130,16316,217.145.96.0/20,2001:4dc8:a001:1:220:4aff:fee0:24e5,16316,2001:4dc8::/32,de,Connected,Yes,49.9295,11.5885,N42 CoLocation,0,0
248,2383,82.212.8.100,3209,82.212.0.0/19,-,-,-,de,Connected,Yes,48.9985,8.3415,IPv4: AS3320 IPv6: AS8422,0,0
253,2430,2.214.42.77,6805,2.208.0.0/13,-,-,-,de,Connected,Yes,53.4975,10.0185,tplink behind cable modem,0,0
255,2434,92.229.107.121,6805,92.224.0.0/13,-,-,-,de,Connected,Yes,50.8195,6.2485,O2 DSL @ home,0,0
256,2443,62.157.69.43,3320,62.156.0.0/14,-,-,-,de,Connected,Yes,52.5185,13.2895,-,0,0
258,2453,217.248.224.252,3320,217.224.0.0/11,-,-,-,de,Connected,Yes,49.4285,11.1095,"Nuremberg, Germany",0,0
261,2468,87.147.55.211,3320,87.128.0.0/10,2003:d0:af15:c100:220:4aff:fee0:2025,3320,2003::/19,de,Connected,Yes,50.7715,12.0605,Homebase Weida 2,0,0
263,2478,109.250.49.131,8881,109.250.32.0/19,fdaf:3c49:826:7b16:220:4aff:fee0:25e4,-,-,de,Connected,Yes,50.1215,8.8305,@home,0,0
267,2536,-,-,-,2003:a:1019:b500:220:4aff:fee0:2427,3320,2003::/19,de,Connected,Yes,52.1405,9.9285,Trillke1,0,0
279,2615,92.79.48.225,3209,92.72.0.0/13,-,-,-,de,Connected,Yes,52.9695,9.8475,R̦hrs AG - Kabel Deutschland,0,0
280,2626,193.34.31.181,51871,193.34.31.0/24,2001:67c:21b0:4031:193:34:31:181,51871,2001:67c:21b0::/48,de,Connected,Yes,49.6005,10.9485,F1-CONSULT: AS51871-AS3491 (PC,0,0
281,2631,193.34.30.181,51871,193.34.30.0/24,2001:67c:21b0:8030:193:34:30:181,51871,2001:67c:21b0::/48,de,Connected,Yes,49.5975,10.9485,F1-CONSULT: AS51871-AS8928 (GT,0,0
282,2632,-,-,-,2001:9e8:31ed:8900:220:4aff:fee0:258a,8881,2001:9e8:2000::/35,de,Connected,Yes,48.1085,11.6285,-,0,0
284,2650,-,-,-,2003:ec:7739:ec01:220:4aff:fee0:20f4,3320,2003::/19,de,Connected,Yes,50.0475,10.5695,PRA,0,0
288,2659,104.151.15.246,8881,104.151.0.0/17,-,-,-,de,Connected,Yes,52.5015,13.3495,mob-fc1.sixtopia.net,0,0
289,2662,104.151.15.246,8881,104.151.0.0/17,-,-,-,de,Connected,Yes,52.5385,13.3705,Raumfahrtagentur.org KDG/DTAG,0,0
291,2699,77.20.78.159,3209,77.20.0.0/14,-,-,-,de,Connected,Yes,53.6315,9.9115,Home KD,0,0
293,2707,213.95.133.190,12337,213.95.0.0/16,2001:780:100:6:220:4aff:fee0:2479,12337,2001:780::/32,de,Connected,Yes,50.1205,8.7375,noris network FFM2,0,0
294,2715,178.26.124.223,3209,178.24.0.0/14,-,-,-,de,Connected,Yes,48.6595,10.8175,Vodafone CableMax 1000 (1000/5,0,0
299,2739,-,-,-,2001:470:6d:7ad:220:4aff:fee0:213a,6939,2001:470::/32,de,Connected,Yes,52.2615,10.5085,Bert's Milky Way Explorer,0,0
301,2750,185.142.181.227,48111,185.142.180.0/23,-,-,-,de,Connected,Yes,51.3275,12.3295,-,0,0
305,2777,79.195.133.128,3320,79.192.0.0/10,2003:ee:b730:3b01:220:4aff:fee0:2595,3320,2003::/19,de,Connected,Yes,49.2905,10.5605,IPv4 & IPv6 DTAG VDSL2,0,0
315,2809,84.149.128.29,3320,84.128.0.0/10,2003:d8:9f35:2002:220:4aff:fee0:212f,3320,2003::/19,de,Connected,Yes,48.5015,12.0975,Tim-1,0,0
316,2818,-,-,-,2a02:2455:460:5d00:220:4aff:fee0:2515,35244,2a02:2455::/33,de,Connected,Yes,48.1815,11.5475,Tim-2,0,0
323,2920,-,-,-,2a02:810b:1320:3c01:220:4aff:fee0:24ed,3209,2a02:8100::/27,de,Connected,Yes,50.3275,7.5685,"Vodafone, Koblenz",0,0
330,3017,178.4.95.49,3209,178.0.0.0/12,fd31:4a88:7257:0:280:a3ff:fe91:3b6d,-,-,de,Connected,Yes,49.6905,8.6175,Arcor FFM 6MBit,0,0
331,3043,134.91.78.146,680,134.91.0.0/16,2001:638:501:8efc:280:a3ff:fe91:9b8,680,2001:638::/32,de,Connected,Yes,51.4285,6.7595,University of Duisburg-Essen,0,0
340,3112,212.62.221.200,21263,212.62.192.0/19,2a02:590:bad:0:280:a3ff:fe91:3e81,21263,2a02:590::/29,de,Connected,Yes,47.6685,9.4175,AS21263 - TeleData Fiber IPv4,0,0
342,3128,93.209.125.217,3320,93.192.0.0/10,2003:c5:173a:7006:280:a3ff:fe91:4070,3320,2003::/19,de,Connected,Yes,51.2715,7.2185,-,0,0
348,3156,84.139.72.55,3320,84.128.0.0/10,2003:c6:af40:b201:280:a3ff:fe91:3b94,3320,2003::/19,de,Connected,Yes,50.4005,8.8195,Telekom Magenta M 50/10 MBit/s,0,0
355,3186,109.90.219.42,3209,109.90.0.0/16,-,-,-,de,Connected,Yes,52.1305,7.5615,Homelab,0,0
356,3187,95.112.78.83,6805,95.112.0.0/13,-,-,-,de,Connected,Yes,53.5405,10.2215,Glinde,0,0
357,3192,84.182.236.120,3320,84.128.0.0/10,2003:fd:bf03:7a00:280:a3ff:fe91:3c14,3320,2003::/19,de,Connected,Yes,50.7685,6.1115,iProbe,0,0
361,3208,93.224.73.164,3320,93.192.0.0/10,2003:d3:df2b:e600:280:a3ff:fe91:39bc,3320,2003::/19,de,Connected,Yes,54.2515,12.3875,K̦rkwitz,0,0
367,3286,23.88.100.193,24940,23.88.0.0/17,-,-,-,de,Connected,Yes,49.4505,11.0115,Spookje #02,0,0
370,3294,91.248.34.233,9145,91.248.0.0/15,fd00::280:a3ff:fe91:3898,-,-,de,Connected,Yes,53.3095,9.9615,Test@Jbg,0,0
373,3310,46.41.20.18,15987,46.41.0.0/19,2a02:a00:e000:1c2:280:a3ff:fe91:3a02,15987,2a02:a00::/32,de,Connected,Yes,51.2475,7.1475,Portunity - VPN,0,0
375,3327,212.60.138.58,8820,212.60.128.0/19,2a01:170:104b:8193:280:a3ff:fe91:3a07,8820,2a01:170:1000::/36,de,Connected,Yes,51.5405,9.9785,-,0,0
376,3333,87.134.74.4,3320,87.128.0.0/10,2003:6:1139:8a64:280:a3ff:fe91:3989,3320,2003::/19,de,Connected,Yes,49.5185,8.5385,C&C Mannheim,0,0
385,3407,212.12.39.26,9211,212.12.32.0/20,2a00:ea8:0:5:280:a3ff:fe91:4521,9211,2a00:ea8::/32,de,Connected,Yes,53.5505,10.0375,-,0,0
394,3559,-,-,-,2a02:908:df58:2fe0:280:a3ff:fe91:45e8,3209,2a02:908:8000::/33,de,Disconnected,Yes,49.8615,8.5595,-,557039,6
396,3575,213.177.166.10,21175,213.177.160.0/20,-,-,-,de,Connected,Yes,50.0995,8.6305,FRA1,0,0
401,3680,141.22.28.253,680,141.22.0.0/16,-,-,-,de,Connected,Yes,53.5475,9.9915,-,0,0
405,3906,91.215.118.126,3320,91.215.116.0/22,-,-,-,de,Connected,Yes,52.4905,13.3975,"Berlin, DE, IPv4, Telekom Comp",0,0
406,3913,217.92.64.48,3320,217.80.0.0/12,fd6d:37cd:6a44:45f9:280:a3ff:fe91:3a40,-,-,de,Connected,Yes,53.5485,9.9875,Probe_RB_HH_DTAG,0,0
408,3933,109.125.102.242,35244,109.125.64.0/18,-,-,-,de,Connected,Yes,51.3585,12.4585,-,0,0
409,3942,95.223.75.72,3209,95.223.0.0/16,-,-,-,de,Connected,Yes,50.1285,8.7095,Vodafone Frankfurt,0,0
414,4008,91.64.155.228,3209,91.64.0.0/14,2a02:8109:9f00:3d48:280:a3ff:fe91:3c85,3209,2a02:8100::/27,de,Connected,Yes,52.5715,13.3975,-,0,0
417,4054,84.147.45.125,3320,84.128.0.0/10,2003:e8:171f:9600:280:a3ff:fe91:483f,3320,2003::/19,de,Connected,Yes,50.7295,7.1895,DT AS3320 Home User VDSL25,0,0
421,4072,-,-,-,2001:9e8:2b28:1902:280:a3ff:fe91:487e,8881,2001:9e8:2000::/35,de,Connected,Yes,49.0485,8.3905,-,0,0
425,4135,88.71.160.9,3209,88.64.0.0/12,-,-,-,de,Connected,Yes,53.0495,8.8485,-,0,0
