,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,lastWeekOn,lastMonthOn,allTimeOn,Seconds_disconnected,Days_disconnected
94,11600,217.14.37.6,30892,217.14.32.0/20,2a02:aa8:0:2001:fa1a:67ff:fe4d:82e0,30892,2a02:aa8::/29,es,Connected,Yes,41.4775,2.1075,DTGBSI-CRD,1.0,0.9998999999999999,0.9134,0,0
95,11602,217.14.37.38,30892,217.14.32.0/20,2a02:aa8:0:2000::10,30892,2a02:aa8::/29,es,Connected,Yes,41.3985,2.1875,DTGBSI-22A,1.0,0.9998999999999999,0.9144,0,0
98,11749,84.88.81.123,13041,84.88.0.0/16,-,-,-,es,Connected,Yes,41.3915,2.1095,-,0.9994,0.9998,0.6725,0,0
109,12170,217.18.40.3,15954,217.18.32.0/20,2a01:a940:7766:0:fa1a:67ff:fe4d:6fee,15954,2a01:a940::/32,es,Disconnected,Yes,40.4875,-3.6895,Salvatierra,0.0,0.1761,0.6439,2135776,24
112,12364,85.54.112.141,12479,85.54.112.0/22,-,-,-,es,Connected,Yes,41.3895,2.1805,KEVINPROBE,0.9989,0.9945,0.9194,0,0
113,12884,79.116.1.229,57269,79.116.0.0/15,-,-,-,es,Connected,Yes,41.6395,-4.7385,MTU Sistemas O2 FTTH,0.9934000000000001,0.9968,0.8225,0,0
120,13337,79.116.139.150,57269,79.116.0.0/15,2a0c:5a86:110a:e700:a2f3:c1ff:fec4:5314,57269,2a0c:5a80::/29,es,Disconnected,Yes,43.3605,-5.8515,First RIPE Atlas Probe in nort,0.0212,0.059500000000000004,0.8634999999999999,589551,6
121,13379,88.4.20.17,3352,88.4.0.0/16,-,-,-,es,Disconnected,Yes,41.6415,-0.8995,-,0.0,0.0,0.09269999999999999,28417162,328
128,13487,83.55.217.98,3352,83.55.0.0/16,-,-,-,es,Disconnected,Yes,42.0105,-4.5185,-,0.0,0.0,0.09820000000000001,7182662,83
139,13870,62.204.197.11,15630,62.204.192.0/19,2a01:4a80:0:2500::11,15630,2a01:4a80::/32,es,Connected,Yes,40.4375,-3.7395,-,0.9993000000000001,0.9995999999999999,0.9843999999999999,0,0
144,13880,91.213.30.30,49638,91.213.30.0/24,2001:67c:137c:1:a2f3:c1ff:fec4:5e26,49638,2001:67c:137c::/48,es,Connected,Yes,41.3875,2.1115,CATNIX - Catalonia Neutral Int,1.0,1.0,0.9668000000000001,0,0
145,13881,83.33.243.111,3352,83.33.0.0/16,2a02:9140:4a80:8901:a2f3:c1ff:fec4:5df5,3352,2a02:9000::/23,es,Connected,Yes,40.3975,-3.6985,macias,1.0,0.9924,0.9773999999999999,0,0
149,13896,147.156.9.141,766,147.156.0.0/16,2001:720:1014:21::a:187,766,2001:720::/32,es,Connected,Yes,39.5105,-0.4185,Universitat de Val̬ncia - Burj,1.0,0.9998,0.9861,0,0
165,14842,83.36.246.223,3352,83.36.0.0/16,-,-,-,es,Connected,Yes,40.3585,-3.9005,-,0.9994,0.9779000000000001,0.7625,0,0
167,14866,81.35.25.21,3352,81.35.0.0/16,-,-,-,es,Connected,Yes,40.5405,-3.6495,Valeriano,1.0,1.0,0.8612000000000001,0,0
175,15118,80.39.150.99,3352,80.39.0.0/16,-,-,-,es,Connected,Yes,40.4515,-3.6725,ripeprobe,1.0,0.9998,0.8284,0,0
183,15618,88.19.206.79,3352,88.19.0.0/16,2a02:9141:200::20,3352,2a02:9000::/23,es,Connected,Yes,38.7915,0.0375,EA5DFV,0.9995,0.9997,0.8473999999999999,0,0
185,15623,145.224.124.5,14593,145.224.124.0/22,2a0d:3344:202f:304:6666:b3ff:feb0:aafa,14593,2a0d:3344:2000::/3,es,Disconnected,Yes,42.8885,-4.9615,Valeriano (Prioro),0.0,0.0,0.4586,7178776,83
187,15632,83.42.100.54,3352,83.42.0.0/16,-,-,-,es,Connected,Yes,41.4685,2.0885,-,1.0,0.9997,0.9795,0,0
192,15873,185.107.105.215,200434,185.107.105.0/24,-,-,-,es,Connected,Yes,41.9285,2.2605,viladelpingui.net,1.0,1.0,0.5931000000000001,0,0
205,18273,46.29.48.48,51718,46.29.48.0/21,-,-,-,es,Connected,Yes,40.5385,-3.6495,HyD Acens,1.0,0.9997,0.9986,0,0
215,18565,79.116.151.94,57269,79.116.0.0/15,2a0c:5a83:700f:5e00:ea94:f6ff:feba:fbf2,57269,2a0c:5a80::/29,es,Disconnected,Yes,41.6395,-4.7395,Digi FTTH,0.15410000000000001,0.0708,0.1435,511851,5
219,18651,194.30.80.81,3262,194.30.0.0/17,-,-,-,es,Connected,Yes,40.6775,-3.6205,Sanagus,1.0,0.9998999999999999,0.735,0,0
223,18801,88.3.148.68,3352,88.3.0.0/16,2a02:9140:5281:2800:ea94:f6ff:fe48:57f0,3352,2a02:9000::/23,es,Disconnected,Yes,40.3975,-3.7225,AS3352 Probe v3,0.0,0.0,0.9179999999999999,4119169,47
225,18833,212.230.14.82,15704,212.230.0.0/15,-,-,-,es,Connected,Yes,41.5885,-4.7315,J5 Network,1.0,0.9995999999999999,0.8996999999999999,0,0
226,18844,2.136.61.132,3352,2.136.0.0/16,-,-,-,es,Connected,Yes,40.5495,-3.6705,JP CEREZO Seminario SRM,0.9983,0.9995999999999999,0.44630000000000003,0,0
236,19882,139.47.68.80,15704,139.47.0.0/17,fd6c:c629:cdf9:37e6:c24a:ff:fecc:9e54,-,-,es,Connected,Yes,40.3785,-3.5385,-,0.9945999999999999,0.9899,0.8776,0,0
238,20136,193.57.37.94,57910,193.57.37.0/24,-,-,-,es,Connected,Yes,39.6005,2.6785,-,0.9995999999999999,0.9997,0.9521,0,0
240,20395,149.74.134.12,12479,149.74.134.0/24,-,-,-,es,Disconnected,Yes,41.5095,2.2415,Family home,0.0,0.0,0.34659999999999996,25774170,298
243,20711,80.80.88.159,34760,80.80.88.0/22,-,-,-,es,Connected,Yes,41.4075,2.1675,es.n2000,0.9992,0.9998,0.9314,0,0
245,20757,82.116.160.93,12319,82.116.160.0/19,-,-,-,es,Connected,Yes,43.2905,-1.9805,IZFE Atlas probe,1.0,0.9998,0.9528,0,0
