,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,lastWeekOn,lastMonthOn,allTimeOn
562,1004523,208.76.221.49,20473,208.76.220.0/22,2a05:f480:2800:145f:5400:3ff:fed2:ba70,20473,2a05:f480:2800::/3,es,Connected,Yes,40.4185,-3.7015,-,1.0,1.0,0.9987999999999999
563,1004646,83.51.76.131,3352,83.51.0.0/16,2001:470:1f13:24a::1a1e,6939,2001:470::/32,es,Abandoned,Yes,41.3805,2.1295,xmt bcn movistar,0.0,0.0,0.0101
564,1004657,188.26.220.73,57269,188.26.216.0/21,fdc1:d42a:1944::1,-,-,es,Disconnected,Yes,40.4605,-3.7105,Espa̱a Madrid Franco Rodriguez,0.1243,0.1379,0.16870000000000002
565,1004742,185.253.154.66,49635,185.253.154.0/24,2a0c:b641:37f:b::1,202905,2a0c:b641:37f::/48,es,Abandoned,Yes,41.3885,2.1695,-,0.0,0.0,0.0601
566,1004769,188.26.220.73,57269,188.26.216.0/21,fdda:5862:9bf7::1,-,-,es,Disconnected,Yes,40.4215,-3.6795,Espa̱a Madrid Franco Rodriguez,0.12359999999999999,0.1381,0.1718
567,1004871,212.8.116.1,12338,212.8.64.0/18,fd47:37c4:8a7::1,-,-,es,Connected,Yes,43.2575,-2.9295,Turris Unamuno,0.9998,0.9732,0.5648
568,1004872,2.143.38.201,3352,2.143.0.0/16,fd6e:3005:88e8::1,-,-,es,Abandoned,Yes,43.2585,-2.9295,Turris Unamuno,0.0,0.0,0.0005
569,1004875,2.143.88.187,3352,2.143.0.0/16,fd6e:3005:88e8::1,-,-,es,Abandoned,Yes,43.3595,-2.9295,Laukiz LTE,0.0,0.0,0.1075
570,1004983,80.32.150.115,3352,80.32.0.0/16,-,-,-,es,Abandoned,Yes,41.3885,2.1715,-,0.0,0.0,0.0006
571,1004991,18.100.6.236,16509,18.100.0.0/15,2a05:d011:218:6500:5950:4100:5da0:58a6,16509,2a05:d011::/38,es,Connected,Yes,41.5975,-0.9085,AWS - Spain,0.9998999999999999,0.9998999999999999,0.9998
572,1005069,80.91.70.194,210423,80.91.70.0/24,-,-,-,es,Connected,Yes,42.2415,-8.7195,-,1.0,1.0,0.9691
573,1005070,-,12479,92.59.228.0/22,-,-,-,es,Disconnected,No,42.3875,-8.4995,Raspi,,,
574,1005075,88.17.48.173,3352,88.17.0.0/16,-,-,-,es,Disconnected,Yes,39.4895,-0.3995,-,0.0,0.0,0.45289999999999997
575,1005076,82.213.235.154,15704,82.213.224.0/19,-,-,-,es,Connected,Yes,40.2905,-3.7995,-,1.0,0.9993000000000001,0.9942
576,1005079,-,12334,77.27.192.0/18,-,-,-,es,Disconnected,No,42.3915,-8.4995,OPENWRT,,,
577,1005089,213.177.222.52,15704,213.177.216.0/21,-,-,-,es,Abandoned,Yes,43.3115,-1.9085,Galtzaraborda Probe,0.0,0.0,0.6493000000000001
578,1005108,86.127.241.86,57269,86.127.224.0/19,2a0c:5a85:d106:7a00:e92:f61:2e75:d6e9,57269,2a0c:5a80::/29,es,Disconnected,Yes,39.4715,-0.3825,-,0.0,0.0,0.1636
579,1005149,79.156.59.62,3352,79.156.0.0/16,-,-,-,es,Connected,Yes,41.7415,0.6395,-,1.0,0.9997,0.9987
580,1005228,-,3352,80.36.0.0/16,-,57269,2a0c:5a80::/29,es,Disconnected,No,38.2715,-0.7115,Oficina,,,
581,1005247,185.47.128.101,59432,185.47.128.0/24,2a03:c7c0:29:0:fca4:baff:fe16:6c48,59432,2a03:c7c0::/32,es,Connected,Yes,40.4305,-3.6205,-,1.0,1.0,0.9997
582,1005309,79.116.49.16,57269,79.116.0.0/15,-,-,-,es,Disconnected,Yes,40.1915,-3.6725,aletz.es,0.0,0.0,0.2907
583,1005357,185.49.184.104,15954,185.49.184.0/22,-,-,-,es,Connected,Yes,40.4905,-3.6905,-,0.9998999999999999,0.9998999999999999,0.9994
584,1005389,-,62080,194.145.141.0/24,-,62080,2001:678:310::/48,es,Connected,No,40.4915,-3.6885,AS62080 2,,,
585,1005425,79.116.62.230,57269,79.116.0.0/15,-,-,-,es,Disconnected,Yes,37.3795,-5.9715,-,0.0,0.0,0.0
586,1005512,81.9.155.117,12338,81.9.128.0/19,-,-,-,es,Connected,Yes,42.8885,-8.5425,santiago,0.9998999999999999,0.9998999999999999,0.9928
587,1005513,82.98.129.44,42612,82.98.128.0/18,2a02:be8:2:1000:42:acff:fe13:2,42612,2a02:be8::/32,es,Connected,Yes,40.4385,-3.6225,interxion mad1,1.0,0.9998999999999999,0.9995999999999999
588,1005536,82.223.33.133,8560,82.223.0.0/16,2001:ba0:1800:81ff::1,8560,2001:ba0::/32,es,Connected,Yes,40.4205,-3.7015,IONOS-Madrid,1.0,1.0,1.0
589,1005622,83.51.248.196,3352,83.51.0.0/16,-,-,-,es,Connected,Yes,41.3885,2.1585,-,0.7315999999999999,0.9308,0.9804999999999999
590,1005642,80.58.150.61,3352,80.58.0.0/16,-,-,-,es,Connected,Yes,40.4285,-3.6705,-,0.9948,0.9984999999999999,0.9259000000000001
591,1005792,79.152.176.225,3352,79.152.0.0/16,-,-,-,es,Disconnected,Yes,41.4185,2.2015,Menorca Barcelona,0.0,0.0,0.6965
592,1005907,213.97.72.118,3352,213.97.0.0/16,-,-,-,es,Connected,Yes,36.7405,-4.5625,rindus,1.0,0.9998999999999999,0.9997
593,1006026,81.35.118.154,3352,81.35.0.0/16,fd4d:6169:6c63:6f77::1,-,-,es,Disconnected,Yes,40.7105,-3.4515,Synthgularity,0.9347,0.904,0.8761
594,1006038,79.116.130.83,57269,79.116.0.0/15,-,-,-,es,Connected,Yes,43.3015,-2.8915,-,0.9991,0.9922,0.9917
595,1006085,80.26.149.181,3352,80.26.0.0/16,-,-,-,es,Connected,Yes,40.4495,-3.7085,-,1.0,0.9998,0.9209999999999999
596,1006106,2.155.31.127,12430,2.155.0.0/16,-,-,-,es,Disconnected,Yes,40.7305,-3.8625,-,0.0079,0.0018,0.0232
597,1006162,195.235.93.17,3352,195.235.0.0/16,-,-,-,es,Connected,Yes,40.4385,-3.6495,-,1.0,1.0,0.9998999999999999
598,1006501,185.161.96.30,205697,185.161.96.0/24,2a0b:ef00::96:30,205697,2a0b:ef00::/32,es,Connected,Yes,40.4175,-3.6925,ALOJALIA MAD-CPD1,0.9998999999999999,1.0,0.9998999999999999
599,1006504,195.216.247.3,205697,195.216.247.0/24,-,-,-,es,Connected,Yes,37.4795,-5.9325,ALOJALIA SEV-CPD1,0.9989,0.9995999999999999,0.9995999999999999
600,1006507,79.117.50.183,57269,79.116.0.0/15,-,-,-,es,Connected,Yes,39.4705,-0.4125,-,0.9979,0.9992,0.9992
601,1006558,79.116.12.137,57269,79.116.0.0/15,-,-,-,es,Disconnected,Yes,37.3215,-5.9405,-,0.0,0.0,0.0989
602,1006603,193.37.64.251,49600,193.37.64.0/24,2a12:c7c0:4::2,49600,2a12:c7c0::/29,es,Connected,Yes,41.3485,2.1275,Barcelona,1.0,1.0,0.9998999999999999
603,1006604,193.37.65.251,49600,193.37.65.0/24,2a12:c7c4::2,49600,2a12:c7c0::/29,es,Connected,Yes,40.4495,-3.5725,Madrid,1.0,1.0,0.9997
604,1007366,185.197.200.11,57656,185.197.200.0/24,2a0a:7dc0:100:4:185:197:200:11,57656,2a0a:7dc0::/29,es,Connected,Yes,42.1705,-8.6895,ALTIA-ISP2-Probe,1.0,0.9990000000000001,0.9990000000000001
605,1007387,81.39.180.43,3352,81.39.0.0/16,-,-,-,es,Connected,Yes,42.2705,-8.7685,-,0.9948999999999999,0.9948999999999999,0.9948999999999999
606,1007393,34.175.56.3,396982,34.175.0.0/17,-,-,-,es,Connected,Yes,40.5185,-3.3385,Google Cloud - europe-southwes,1.0,1.0,1.0
607,1007394,34.0.207.25,15169,34.0.192.0/19,-,-,-,es,Connected,Yes,40.5195,-3.3385,Google Cloud - europe-southwes,1.0,1.0,1.0
608,1007401,213.96.250.100,3352,213.96.0.0/16,-,-,-,es,Connected,Yes,42.1675,-8.6925,FTTH-Movistar,1.0,1.0,1.0
