ec2.eu-west-3.amazonaws.com
ec2.eu-central-1.amazonaws.com
ec2.eu-west-1.amazonaws.com
ec2.eu-west-2.amazonaws.com
ec2.eu-north-1.amazonaws.com
ec2.ap-northeast-1.amazonaws.com
ec2.ap-northeast-2.amazonaws.com
ec2.ap-northeast-3.amazonaws.com
ec2.ap-south-1.amazonaws.com
ec2.ap-southeast-1.amazonaws.com
ec2.ap-southeast-2.amazonaws.com
ec2.ca-central-1.amazonaws.com
ec2.cn-north-1.amazonaws.com.cn
ec2.cn-northwest-1.amazonaws.com.cn
ec2.sa-east-1.amazonaws.com
ec2.us-east-1.amazonaws.com
ec2.us-east-2.amazonaws.com
ec2.us-west-1.amazonaws.com
ec2.us-west-2.amazonaws.com
