Iteration,RMSE,Denormalized_RMSE
0,0.0013924399279853542,0.010754977008212185
1,0.002169908155273657,0.023129174855442587
2,0.0016726350154409536,0.015987245914040334
3,0.0009451594944482074,0.011657911873774872
4,0.0013436409756669182,0.016317183742340542
5,0.002139712633156331,0.01701886110677093
6,0.0015893530304974565,0.017432906622894994
7,0.001734048291701532,0.016993976493174884
8,0.0013857204197818941,0.013912196091577017
9,0.0012575329661490642,0.01193411615893791
10,0.0012948129842426856,0.014051171634306912
11,0.001623387414986369,0.01691418860067761
12,0.0017158076958537878,0.016037173259598848
13,0.0012937256407485767,0.01601557122455594
14,0.0017244481759992806,0.015594593787292927
15,0.0033892510255344728,0.03388160115624825
16,0.0016111562811693633,0.018075372835699068
17,0.0013888058733025168,0.014098867182521199
18,0.0019731341604554632,0.019713509343564632
19,0.0013352486446811314,0.01619918997774181
20,0.001602283137086884,0.018472017872328588
21,0.001748177045706789,0.018327592114149305
22,0.00141922817427715,0.01471456254772317
23,0.0013966303803139618,0.01701973804310159
24,0.0012501502206117648,0.014457044760486282
25,0.001251071958054315,0.011651316082085915
26,0.0013063262228215702,0.012687317568420156
27,0.0018102932035223341,0.016950359755881685
28,0.0014285029356888364,0.0142918354146676
29,0.0014045174619526412,0.01546748983910523
