Iteration,RMSE,Denormalized_RMSE
0,1.375643406278819,10.625243436845059
1,1.4313143725636752,15.256461576807292
2,1.3954451919470712,13.337832364666644
3,1.405018608516589,17.329967286275572
4,1.4043238012401962,17.054116325385728
5,1.3860619190745997,11.024468856510937
6,1.3927570211530116,15.276532420580232
7,1.437494112979341,14.08769368301591
8,1.377442998828359,13.829093395106515
9,1.3995268093214672,13.281652218738191
10,1.397343965870474,15.16382685032535
11,1.411599852777515,14.707558970923841
12,1.393157407189147,13.02145151287965
13,1.4116255030851064,17.475102970037508
14,1.4051056042200205,12.7067031825195
15,1.4128220106345244,14.123672607442511
16,1.393453158577611,15.632987106683517
17,1.4063965103777527,14.27744365641667
18,1.3836559315688213,13.82405448242011
19,1.4127269572982273,17.139154163617416
20,1.4009536409614154,16.150978622412982
21,1.3813139455644767,14.481461496170503
22,1.4042482316509675,14.559250451522335
23,1.3905234025214324,16.945316661661696
24,1.401155775414182,16.203310152330396
25,1.3948363226946399,12.990203140484805
26,1.4048411692873155,13.644115640150776
27,1.386793679300503,12.984996974848514
28,1.3949356485953845,13.956002613438406
29,1.3769116464778655,15.1634760536428
