Filename,Mean_RMSE,Mean_Denormalized_RMSE
evaluation_results_simple.csv,0.08141578845976374,0.8251245111877882
evaluation_results_arima.csv,0.08184854659751796,0.8306549879809012
evaluation_results_rf.csv,0.21555968942946135,2.1860795261155013
evaluation_results_svr.csv,1.6600933312046338,16.952893400271712
evaluation_results_lstm.csv,0.12935801512597658,1.2355704089333035
evaluation_results_linear.csv,0.37234012584405535,3.7649743986616664
evaluation_results_xgb.csv,0.4520408387302027,4.634395577175441
evaluation_results_naive.csv,0.08143142372328789,0.8252847329693436
evaluation_results_double.csv,0.09355727769794278,0.948335509142449
evaluation_results_dt.csv,0.21555969119567492,2.186079542748663
evaluation_results_prophet.csv,1.0114291263662756,10.595414156490337
evaluation_results_knn.csv,0.22779522545519063,2.3113323722718455
